                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0699,                 3.7624,                 1.1641,                0.01462,                0.78057,                0.13015,                 0.0937,                0.71758,                 3.5273,                0.91046,                0.00013,                0.00013,                0.00013
                      2,                0.99729,                  2.754,                 1.0869,                0.71051,                0.07222,                0.25948,                 0.1948,                0.73883,                 2.9384,                0.89498,             0.00026911,             0.00026911,             0.00026911
                      3,                0.95191,                 2.0691,                 1.0817,                0.78389,                0.06769,                0.34193,                0.25923,                0.72836,                   2.91,                0.94678,             0.00040729,             0.00040729,             0.00040729
                      4,                0.90775,                 1.6339,                 1.0496,                0.79802,                0.14598,                0.52538,                0.41539,                0.72211,                 2.7121,                0.93416,             0.00054456,             0.00054456,             0.00054456
                      5,                0.87663,                 1.4603,                 1.0433,                0.92939,                0.32224,                0.73812,                0.61319,                0.69402,                 2.3579,                0.93336,             0.00068089,             0.00068089,             0.00068089
                      6,                0.83398,                 1.3411,                 1.0265,                0.77878,                0.43215,                0.66901,                0.55327,                 0.6786,                 2.3071,                0.92628,             0.00081631,             0.00081631,             0.00081631
                      7,                0.81174,                 1.2203,                 1.0105,                0.73927,                0.62456,                0.69542,                0.55192,                0.76197,                 1.9183,                0.96589,             0.00095079,             0.00095079,             0.00095079
                      8,                0.83549,                 1.2135,                 1.0309,                0.76201,                0.59295,                0.72015,                0.59091,                0.73274,                 1.8064,                0.94691,              0.0009769,              0.0009769,              0.0009769
                      9,                0.82093,                 1.1014,                 1.0124,                0.80268,                0.70695,                0.80644,                0.66776,                 0.6876,                 1.3701,                0.92515,              0.0009769,              0.0009769,              0.0009769
                     10,                0.82869,                 1.0964,                 1.0139,                0.80719,                 0.7077,                0.84034,                 0.6992,                0.66219,                 1.2321,                0.91377,              0.0009736,              0.0009736,              0.0009736
                     11,                0.80779,                 1.0317,                 1.0129,                0.87701,                0.77154,                 0.8976,                0.74855,                0.67511,                 1.1373,                0.93125,              0.0009703,              0.0009703,              0.0009703
                     12,                0.78315,                0.98835,                0.99227,                0.91089,                0.79844,                0.89682,                0.75762,                 0.6599,                 1.0797,                0.94377,               0.000967,               0.000967,               0.000967
                     13,                0.75766,                0.93718,                0.99542,                0.87018,                0.81346,                0.87331,                0.74308,                0.64603,                 1.0001,                0.93633,              0.0009637,              0.0009637,              0.0009637
                     14,                0.77911,                0.94417,                 0.9945,                0.90654,                0.81443,                 0.9143,                 0.7597,                0.67503,                0.95806,                0.94526,              0.0009604,              0.0009604,              0.0009604
