                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2185,                 3.3173,                 1.2262,                0.22283,                0.12929,                0.07456,                0.03643,                 1.3176,                 3.3037,                 1.3202,                 0.0883,                 0.0013,                 0.0013
                      2,                 1.2386,                 2.3206,                 1.2765,                0.00125,                0.07591,                0.00068,                0.00018,                 2.8349,                    inf,                 6.1236,               0.075695,              0.0026947,              0.0026947
                      3,                 1.2698,                 1.9498,                 1.3146,                0.00073,                0.04729,                0.00792,                0.00384,                 3.6607,                    inf,                 22.105,               0.063084,              0.0040838,              0.0040838
                      4,                 1.2531,                 1.7519,                 1.3003,                 0.0007,                0.04359,                0.00039,                  7e-05,                 3.1541,                    inf,                 9.8445,               0.050467,              0.0054673,              0.0054673
                      5,                 1.2385,                 1.6549,                 1.3007,                0.01298,                0.09704,                 0.0081,                0.00324,                 3.2424,                    inf,                   6.66,               0.037845,              0.0068454,              0.0068454
                      6,                 1.1934,                 1.6002,                 1.2784,                0.50087,                0.17079,                0.00993,                0.00551,                 2.1461,                    inf,                 2.7857,               0.025218,              0.0082178,              0.0082178
                      7,                  1.116,                 1.4608,                 1.2344,                0.05424,                0.29422,                0.04054,                0.02505,                 2.0703,                 18.308,                 2.7528,               0.012585,              0.0095848,              0.0095848
                      8,                 1.1603,                 1.4524,                 1.2699,                0.17898,                  0.165,                0.05355,                0.03862,                 2.3565,                    inf,                 3.2845,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.1323,                 1.3809,                 1.2231,                0.26098,                0.31526,                0.19917,                 0.1321,                 1.3679,                 8.1671,                  1.618,              0.0098614,              0.0098614,              0.0098614
                     10,                 1.1238,                 1.3756,                 1.2304,                0.12459,                0.28596,                0.09897,                0.05562,                 2.1949,                 17.638,                 2.7577,              0.0098416,              0.0098416,              0.0098416
                     11,                 1.0874,                 1.3354,                 1.2242,                0.59618,                0.28923,                0.23525,                0.15404,                 1.3546,                 11.019,                 1.6454,              0.0098218,              0.0098218,              0.0098218
                     12,                 1.0557,                 1.2714,                 1.1919,                0.26868,                0.38158,                0.25043,                0.17331,                 1.2672,                 9.6218,                 1.6058,               0.009802,               0.009802,               0.009802
                     13,                 1.0402,                 1.2311,                 1.1969,                0.43709,                0.48187,                0.44931,                0.31278,                  1.261,                 4.2087,                 1.5186,              0.0097822,              0.0097822,              0.0097822
                     14,                 1.0351,                 1.1855,                  1.183,                0.64748,                0.58776,                0.62324,                0.44053,                  1.092,                 2.6346,                 1.3292,              0.0097624,              0.0097624,              0.0097624
                     15,                0.99935,                 1.1015,                 1.1507,                0.71608,                0.60731,                0.71675,                0.51651,                0.97625,                  1.877,                 1.2104,              0.0097426,              0.0097426,              0.0097426
                     16,                0.95481,                 1.0794,                 1.1444,                0.63623,                0.61215,                0.63491,                0.46646,                0.99452,                 1.5325,                 1.2067,              0.0097228,              0.0097228,              0.0097228
                     17,                  1.006,                 1.0868,                 1.1416,                0.79462,                0.65052,                0.75791,                0.61264,                0.82469,                 1.1375,                 1.0956,               0.009703,               0.009703,               0.009703
                     18,                 0.9273,                 1.0471,                 1.1315,                0.76738,                0.61411,                0.73281,                 0.5819,                0.84902,                 1.3372,                 1.1132,              0.0096832,              0.0096832,              0.0096832
                     19,                0.94426,                 1.0338,                 1.1329,                0.79424,                0.68513,                 0.7859,                0.61016,                 0.8542,                 1.1513,                 1.0646,              0.0096634,              0.0096634,              0.0096634
                     20,                0.92567,                0.99712,                 1.1135,                0.84667,                   0.67,                0.78281,                0.63583,                0.83031,                 1.3304,                 1.0996,              0.0096436,              0.0096436,              0.0096436
                     21,                0.91901,                 1.0086,                 1.1199,                0.78126,                0.68908,                0.77172,                0.61106,                0.85856,                 1.2755,                 1.0949,              0.0096238,              0.0096238,              0.0096238
                     22,                0.90316,                0.95331,                 1.1014,                0.77391,                0.63788,                0.73928,                0.58051,                0.85368,                 1.3201,                 1.1119,               0.009604,               0.009604,               0.009604
                     23,                0.88484,                0.93321,                 1.0855,                0.70581,                0.69806,                0.76811,                0.62784,                 0.7783,                 1.3451,                  1.053,              0.0095842,              0.0095842,              0.0095842
                     24,                0.90351,                0.97993,                  1.107,                0.79812,                0.68167,                0.79098,                0.64276,                0.80694,                 1.1293,                 1.0874,              0.0095644,              0.0095644,              0.0095644
                     25,                0.89621,                0.95781,                 1.1076,                0.78874,                0.65426,                0.78249,                0.62606,                0.86606,                 1.2896,                 1.1133,              0.0095446,              0.0095446,              0.0095446
                     26,                0.88002,                0.90829,                 1.0829,                0.85884,                0.76092,                0.86075,                0.69867,                0.75603,                  0.885,                 1.0437,              0.0095248,              0.0095248,              0.0095248
                     27,                0.86527,                0.88772,                 1.0819,                 0.8406,                 0.6643,                 0.7815,                0.62514,                0.80516,                 1.4975,                 1.0572,               0.009505,               0.009505,               0.009505
                     28,                0.86709,                0.87921,                 1.0817,                0.80544,                0.65027,                0.77131,                 0.6146,                0.83703,                 1.3016,                 1.1099,              0.0094852,              0.0094852,              0.0094852
                     29,                0.87541,                0.88261,                 1.0831,                0.79234,                0.69465,                0.79362,                0.64819,                0.73072,                 1.2012,                 1.0266,              0.0094654,              0.0094654,              0.0094654
                     30,                0.86253,                0.88457,                 1.0837,                0.71596,                 0.7471,                 0.7923,                0.65834,                0.76894,                 1.0896,                 1.0491,              0.0094456,              0.0094456,              0.0094456
                     31,                0.85444,                0.86867,                 1.0771,                0.73149,                0.77718,                0.80923,                0.65601,                0.80542,                 1.0397,                  1.081,              0.0094258,              0.0094258,              0.0094258
                     32,                 0.8321,                0.84866,                 1.0648,                0.76034,                0.71682,                0.83815,                0.69312,                0.72674,                 1.1723,                 1.0149,               0.009406,               0.009406,               0.009406
                     33,                0.83403,                 0.8439,                 1.0736,                0.88609,                0.79534,                0.89193,                0.72616,                  0.746,                0.93442,                 1.0264,              0.0093862,              0.0093862,              0.0093862
                     34,                0.84975,                0.83803,                 1.0684,                0.88092,                0.78727,                0.88572,                0.73602,                0.66819,                0.75225,                0.98687,              0.0093664,              0.0093664,              0.0093664
                     35,                0.84466,                0.83722,                 1.0657,                0.81073,                0.84674,                0.89859,                0.74546,                0.68347,                0.80543,                0.98171,              0.0093466,              0.0093466,              0.0093466
                     36,                0.84947,                0.85945,                 1.0756,                0.90979,                0.77795,                0.90018,                0.74789,                0.68131,                0.87266,                0.99606,              0.0093268,              0.0093268,              0.0093268
                     37,                0.83752,                0.81706,                 1.0642,                 0.9029,                0.79486,                0.90813,                0.74857,                0.72734,                0.71153,                  1.003,               0.009307,               0.009307,               0.009307
                     38,                0.84242,                0.82091,                 1.0719,                0.78689,                0.74814,                0.83713,                0.69829,                0.74412,                 1.3007,                 1.0311,              0.0092872,              0.0092872,              0.0092872
                     39,                0.81078,                0.79317,                 1.0454,                0.89667,                0.75751,                 0.8819,                  0.752,                 0.6964,                0.81756,                 1.0001,              0.0092674,              0.0092674,              0.0092674
                     40,                0.80391,                0.78174,                 1.0546,                0.87726,                0.80904,                0.90701,                0.75034,                0.73262,                0.75018,                 1.0327,              0.0092476,              0.0092476,              0.0092476
